page	entries	image	volume	frequency	check	books	accuracy	centurydictionar03whit_djvu.csv	frequency	image	centurydictionar03whituoft_djvu.csv	frequency	image	centurydictionary03whit_djvu.csv	frequency	image	cu31924091890602_djvu.csv	frequency	image
1777	droop	13	3	4		centurydictionar03whit_djvu.csv	2922	droop	4	13	droop	4	13	droop	4	13	droop	4	12
1778	drop	14	3	4		centurydictionary03whit_djvu.csv	2883	drop	4	14	drop	4	14	drop	4	14	drop	4	13
1779	Drosera	15	3	2	weak	cu31924091890602_djvu.csv	2855	Drosera	2	15	Stmdew	1	15	Sundew	1	15	Drosera	2	14
1780	drove	16	3	4		centurydictionar03whituoft_djvu.csv	2720	drove	4	16	drove	4	16	drove	4	16	drove	4	15
1781	drudge	17	3	4				drudge	4	17	drudge	4	17	drudge	4	17	drudge	4	16
1782	dniin	18	3	1	tie			dniin	1	18	dmm	1	18	drmn	1	18	drum	1	17
1783	drummer	19	3	1	tie			drummer	1	19	dmmmer	1	19	drununer	1	19	dnunmer	1	18
1784	Druse	20	3	4				Druse	4	20	Druse	4	20	Druse	4	20	Druse	4	19
1785	dry-beat	21	3	4				dry-beat	4	21	dry-beat	4	21	dry-beat	4	21	dry-beat	4	20
1786	Dryolestes	22	3	4				Dryolestes	4	22	Dryolestes	4	22	Dryolestes	4	22	Dryolestes	4	21
1787	dub	23	3	4				dub	4	23	dub	4	23	dub	4	23	dub	4	22
1788	dubitatively	24	3	3				dubitatively	3	24	of	1	24	dubitatively	3	24	dubitatively	3	23
1789	duck	25	3	4				duck	4	25	duck	4	25	duck	4	25	duck	4	24
1790	ducking	26	3	3				ducking	3	26	ducking	3	26	dacking	1	26	ducking	3	25
1791	ductor	27	3	3				ductor	3	27	TU	1	27	ductor	3	27	ductor	3	26
1792	due	28	3	3				due	3	28	dna	1	28	due	3	28	due	3	27
1793	duffil	29	3	2	weak			duffil	2	29	dnffil	1	29	duffl	1	29	duffil	2	28
1794	dulcarnon	30	3	3				dulcarnon	3	30	dalcarnon	1	30	dulcarnon	3	30	dulcarnon	3	29
1795	duU	31	3	3				dull	1	31	duU	3	31	duU	3	31	duU	3	30
1796	dumb-cake	32	3	4				dumb-cake	4	32	dumb-cake	4	32	dumb-cake	4	32	dumb-cake	4	31
1797	dump	33	3	3				dump	3	33	damp	1	33	dump	3	33	dump	3	32
1798	dunche-down	34	3	2	weak			dunche-down	2	34	dnnche-down	1	34	dunche-down	2	34	dmiche-down	1	33
1799	dunite	35	3	3				dunite	3	35	dnnlte	1	35	dunite	3	35	dunite	3	34
1800	duodenal	36	3	3				duodenal	3	36	dnodenal	1	36	duodenal	3	36	duodenal	3	35
1801	duplication	37	3	4				duplication	4	37	duplication	4	37	duplication	4	37	duplication	4	36
1802	durante	38	3	4				durante	4	38	durante	4	38	durante	4	38	durante	4	37
1803	Durio	39	3	4				Durio	4	39	Durio	4	39	Durio	4	39	Durio	4	38
1804	dust	40	3	3				dust	3	40	dost	1	40	dust	3	40	dust	3	39
1805	Dutch	41	3	4				Dutch	4	41	Dutch	4	41	Dutch	4	41	Dutch	4	40
1806	duty	42	3	4				duty	4	42	duty	4	42	duty	4	42	duty	4	41
1807	dwarfling	43	3	4				dwarfling	4	43	dwarfling	4	43	dwarfling	4	43	dwarfling	4	42
1808	dye	44	3	4				dye	4	44	dye	4	44	dye	4	44	dye	4	43
1809	dynamic	45	3	4				dynamic	4	45	dynamic	4	45	dynamic	4	45	dynamic	4	44
1810	Dynamostes	46	3	3				Dynamostes	3	46	Djmamostes	1	46	Dynamostes	3	46	Dynamostes	3	45
1811	Dysideidae	47	3	2	weak			Dysideidae	2	47	I	1	47	Dysideidae	2	47	Dysideidse	1	46
1812	dysteleologist	48	3	4				dysteleologist	4	48	dysteleologist	4	48	dysteleologist	4	48	dysteleologist	4	47
1813	The	49	3	3				The	3	49	The	3	49	ative	1	49	The	3	48
1814	Eacles	50	3	4				Eacles	4	50	Eacles	4	50	Eacles	4	50	Eacles	4	49
1815	eagle	51	3	4				eagle	4	51	eagle	4	51	eagle	4	51	eagle	4	50
1816	ear	52	3	3				ear	3	52	ear	3	52	The	1	52	ear	3	51
1817	eared	53	3	4				eared	4	53	eared	4	53	eared	4	53	eared	4	52
1818	early	54	3	4				early	4	54	early	4	54	early	4	54	early	4	53
1819	earnest-penny	55	3	2	weak			earnest-penny	2	55	earnest-penny	2	55	eamest-pezmy	1	55	eamest-peimy	1	54
1820	earth	56	3	2	weak			earth	2	56	eartb	1	56	earth	2	56	eartn	1	55
1821	earthpuff	57	3	4				earthpuff	4	57	earthpuff	4	57	earthpuff	4	57	earthpuff	4	56
1822	ease	58	3	4				ease	4	58	ease	4	58	ease	4	58	ease	4	57
1823	easiness	59	3	4				easiness	4	59	easiness	4	59	easiness	4	59	easiness	4	58
1824	Easter-flower	60	3	4				Easter-flower	4	60	Easter-flower	4	60	Easter-flower	4	60	Easter-flower	4	59
1825	easy-chair	61	3	4				easy-chair	4	61	easy-chair	4	61	easy-chair	4	61	easy-chair	4	60
1826	eaves-drip	62	3	4				eaves-drip	4	62	eaves-drip	4	62	eaves-drip	4	62	eaves-drip	4	61
