page	entries	image	volume	frequency	check	books	accuracy	centurydictio04whit_djvu.csv	frequency	image	centurydictiona04whit_djvu.csv	frequency	image	centurydictionar04whit_djvu.csv	frequency	image	centurydictionar04whituoft_djvu.csv	frequency	image	centurydictionary04whit_djvu.csv	frequency	image	cu31924091890610_djvu.csv	frequency	image
2671	The	13	4	6		centurydictio04whit_djvu.csv	4174	The	6	13	The	6	13	The	6	13	The	6	15	The	6	13	The	6	12
2672	habeas	14	4	5		centurydictiona04whit_djvu.csv	4148	habeas	5	14	habeas	5	14	HAbAas	1	14	habeas	5	16	habeas	5	14	habeas	5	13
2673	liability	15	4	2	tie	centurydictionar04whit_djvu.csv	3543	Lability	1	15	hability	2	15	habiUty	1	15	liability	2	17	liability	2	15	hability	2	14
2674	habitual	16	4	6		centurydictionar04whituoft_djvu.csv	4187	habitual	6	16	habitual	6	16	habitual	6	16	habitual	6	18	habitual	6	16	habitual	6	15
2675	hack	17	4	6		centurydictionary04whit_djvu.csv	4102	hack	6	17	hack	6	17	hack	6	17	hack	6	19	hack	6	17	hack	6	16
2676	hacking	18	4	6		cu31924091890610_djvu.csv	4014	hacking	6	18	hacking	6	18	hacking	6	18	hacking	6	20	hacking	6	18	hacking	6	17
2677	haddie	19	4	6		centurydictionar04whituoft_djvu.csv	top accuracy	haddie	6	19	haddie	6	19	haddie	6	19	haddie	6	21	haddie	6	19	haddie	6	18
2678	Hsemaria	20	4	2	weak	centurydictio04whit_djvu.csv	best images	Hsemaria	2	20	Haemarla	1	20	ai	1	20	Haemaria	1	22	Hffimaria	1	20	Hsemaria	2	19
2679	haft	21	4	5				haft	5	21	haffc	1	21	haft	5	21	haft	5	23	haft	5	21	haft	5	20
2680	naggadistic	22	4	2	weak			liaggadistic	1	22	naggadistic	2	22	hagKadistic	1	22	naggadistic	2	24	haggadistic	1	22	Iiaggadistic	1	21
2681	hag-seed	23	4	6				hag-seed	6	23	hag-seed	6	23	hag-seed	6	23	hag-seed	6	25	hag-seed	6	23	hag-seed	6	22
2682	hailstone	24	4	4				hailstone	4	24	I	1	24	hailstone	4	24	hailstone	4	26	hailstone	4	24	liailstone	1	23
2683	hair	25	4	6				hair	6	25	hair	6	25	hair	6	25	hair	6	27	hair	6	25	hair	6	24
2684	hairtail	26	4	3	weak			lialrtail	1	26	hairtall	1	26	hairtaU	1	26	hairtail	3	28	hairtail	3	26	hairtail	3	25
2685	German	27	4	3	weak			German	3	27	German	3	27	Gcmuui	1	27	German	3	29	halberd	2	27	halberd	2	26
2686	halecine	28	4	3	weak			balecine	1	28	halecine	3	28	baleclne	1	28	halecine	3	30	halecine	3	28	Flowers	1	27
2687	half-box	29	4	6				half-box	6	29	half-box	6	29	half-box	6	29	half-box	6	31	half-box	6	29	half-box	6	28
2688	half-hitch	30	4	5				half-Mtch	1	30	half-hitch	5	30	half-hitch	5	30	half-hitch	5	32	half-hitch	5	30	half-hitch	5	29
