page	entries	image	volume	fix	frequency	check	books	accuracy	centurydiction07whit_djvu.csv	frequency	image	centurydictiona07whit_djvu.csv	frequency	image	centurydictionar07whit_djvu.csv	frequency	image	centurydictionar07whituoft_djvu.csv	frequency	image	centurydictionary07whit_djvu.csv	frequency	image	cu31924091890644_djvu.csv	frequency	image
5317	Prickly	12	7		5		centurydiction07whit_djvu.csv	4126	Prickly	5	13	prickly	1	13	Prickly	5	15	Prickly	5	15	Prickly	5	13	Prickly	5	12
5318	salt	13	7		5		centurydictiona07whit_djvu.csv	4294	salt	5	14	salt	5	14	salt	5	16	salt	5	16	to	1	14	salt	5	13
5319	salt-cellar	14	7		6		centurydictionar07whit_djvu.csv	4180	salt-cellar	6	15	salt-cellar	6	15	salt-cellar	6	17	salt-cellar	6	17	salt-cellar	6	15	salt-cellar	6	14
5320	salt-marsh	15	7		6		centurydictionar07whituoft_djvu.csv	3945	salt-marsh	6	16	salt-marsh	6	16	salt-marsh	6	18	salt-marsh	6	18	salt-marsh	6	16	salt-marsh	6	15
5321	salutatory	16	7		6		centurydictionary07whit_djvu.csv	4098	salutatory	6	17	salutatory	6	17	salutatory	6	19	salutatory	6	19	salutatory	6	17	salutatory	6	16
5322	salvation	17	7		5		cu31924091890644_djvu.csv	4177	salvation	5	18	salvation	5	18	salvation	5	20	salvation	5	20	fuilvation	1	18	salvation	5	17
5323	sam	18	7		6		centurydictiona07whit_djvu.csv	top accuracy	sam	6	19	sam	6	19	sam	6	21	sam	6	21	sam	6	19	sam	6	18
5324	same	19	7		4		cu31924091890644_djvu.csv	best images	same	4	22	same	4	20	game	1	22	same	4	22	whoae	1	20	same	4	19
5325	Upper	20	7		4				Upper	4	23	Upper	4	21	UpperPartof	1	23	Upper	4	23	Upper	4	21	pir	1	20
5326	SamydacesB	21	7		2	tie			Samydaces	1	24	Samydaceae	1	22	Samydacese	2	24	SamydacesB	2	24	SamydacesB	2	22	Samydacese	2	21
5327	sanctimoniously	22	7		6				sanctimoniously	6	25	sanctimoniously	6	23	sanctimoniously	6	25	sanctimoniously	6	25	sanctimoniously	6	23	sanctimoniously	6	22
5328	sanctuary	23	7		4				sanctnary	1	26	sanctuary	4	24	sanctuary	4	26	sanctuary	4	26	sanctnarr	1	24	sanctuary	4	23
5329	sandalwood	24	7		5				I	1	27	sandalwood	5	25	sandalwood	5	27	sandalwood	5	27	sandalwood	5	25	sandalwood	5	24
5330	sanded	25	7		6				sanded	6	28	sanded	6	26	sanded	6	28	sanded	6	28	sanded	6	26	sanded	6	25
5331	sanding-plate	26	7		6				sanding-plate	6	29	sanding-plate	6	27	sanding-plate	6	29	sanding-plate	6	29	sanding-plate	6	27	sanding-plate	6	26
5332	sandpiper	27	7		5				sandpiper	5	30	sandpiper	5	28	sandpiper	5	30	sandpiper	5	30	I'	1	28	sandpiper	5	27
5333	sandstone	28	7		3	weak			sandstone	3	31	Sand	1	29	Sand-trap	2	31	sandstone	3	31	Sand-trap	2	29	sandstone	3	28
5334	sangsue	29	7		3	tie			sangsue	3	32	sangsue	3	30	sangsne	3	32	sangsne	3	32	sangsne	3	30	sangsue	3	29
5335	sanguinous	30	7		4				sanguinoas	1	33	sanguinous	4	31	sanguinous	4	33	sanguinous	4	33	sanguinous	4	31	sangiunous	1	30
5336	sanjakate	31	7		5				sanjakate	5	34	sanjakate	5	32	sanjakate	5	34	sanjakate	5	34	sanjakate	5	32	saojakate	1	31
5337	Santenot	32	7		4				after	1	35	Santenot	4	33	Santenot	4	35	From	1	35	Santenot	4	33	Santenot	4	32
5338	Saperda	33	7		6				Saperda	6	36	Saperda	6	34	Saperda	6	36	Saperda	6	36	Saperda	6	34	Saperda	6	33
5339	Sapium	34	7		4				Sapium	4	37	Sapium	4	35	Sapium	4	37	Sapitun	1	37	of	1	35	Sapium	4	34
5340	sapphire	35	7		6				sapphire	6	38	sapphire	6	36	sapphire	6	38	sapphire	6	38	sapphire	6	36	sapphire	6	35
5341	Sarabaite	36	7		5				Sarabaite	5	39	Sarabaite	5	37	Sarabaite	5	39	if	1	39	Sarabaite	5	37	Sarabaite	5	36
5342	sarcitis	37	7		5				sarcitis	5	40	sarcitis	5	38	sarcitis	5	40	sarcitis	5	40	sarcltiB	1	38	sarcitis	5	37
5343	sarcome	38	7		4				sarcome	4	41	sarcome	4	39	sarcome	4	41	sarcome	4	41	saxcomet	1	39	saxcome	1	38
5344	sarcotheca	39	7		5				sarcotbeca	1	42	sarcotheca	5	40	sarcotheca	5	42	sarcotheca	5	42	sarcotheca	5	40	sarcotheca	5	39
5345	sari	40	7		3	weak			h	1	43	san	1	41	sari	3	43	aarl	1	43	sari	3	41	sari	3	40
5346	sarsaparilla	41	7		4				sarsaparilla	4	44	sarsaparilla	4	42	sarsaparilla	4	44	sarsaparilla	4	44	a	1	42	See	1	41
5347	saslne	42	7		4				saslne	4	45	sasine	2	43	saslne	4	45	saslne	4	45	sasine	2	43	saslne	4	42
5348	satchel	43	7		5				satchel	5	46	satchel	5	44	satchel	5	46	satchel	5	46	S	1	44	satchel	5	43
5349	satin-de-laine	44	7		6				satin-de-laine	6	47	satin-de-laine	6	45	satin-de-laine	6	47	satin-de-laine	6	47	satin-de-laine	6	45	satin-de-laine	6	44
5350	satirist	45	7		5				satirist	5	48	satirist	5	46	satirist	5	48	satirist	5	48	Batirist	1	46	satirist	5	45
5351	satle	46	7		6				satle	6	49	satle	6	47	satle	6	49	satle	6	49	satle	6	47	satle	6	46
5352	Saturn	47	7		6				Saturn	6	50	Saturn	6	48	Saturn	6	50	Saturn	6	50	Saturn	6	48	Saturn	6	47
5353	Satyri	48	7		5				Satyri	5	51	Satyri	5	49	Satyri	5	51	i	1	51	Satyri	5	49	Satyri	5	48
5354	saucy	49	7		6				saucy	6	52	saucy	6	50	saucy	6	52	saucy	6	52	saucy	6	50	saucy	6	49
5355	Sauriclitliyidae	50	7		1	tie			Saurichtliyidae	1	53	Sauriclitliyidae	1	51	Saurichthyidae	1	53	Saarichthyidae	1	53	Saurichthyidx	1	51	SaurichthyidsB	1	50
5356	Saururse	51	7		1	tie			Saunirse	1	54	Saururse	1	52	Saororae	1	54	Sanmrs	1	54	Rem	1	52	Saururs	1	51
5357	savage	52	7		6				savage	6	55	savage	6	53	savage	6	55	savage	6	55	savage	6	53	savage	6	52
5358	save	53	7		6				save	6	56	save	6	54	save	6	56	save	6	56	save	6	54	save	6	53
5359	savior	54	7		6				savior	6	57	savior	6	55	savior	6	57	savior	6	57	savior	6	55	savior	6	54
5360	savory	55	7		6				savory	6	58	savory	6	56	savory	6	58	savory	6	58	savory	6	56	savory	6	55
5361	sawbelly	56	7		6				sawbelly	6	59	sawbelly	6	57	sawbelly	6	59	sawbelly	6	59	sawbelly	6	57	sawbelly	6	56
5362	saw-table	57	7		5				saw-table	5	60	saw-table	5	58	saw-table	5	60	A	1	60	saw-table	5	58	saw-table	5	57
5363	Flowering	58	7		4				Flowering	4	61	Flowering	4	59	Flowering	4	61	Floweriiv	1	61	Flowering	4	59	Flowerine	1	58
5364	say	59	7		5				say	5	62	say	5	60	say	5	62	say	5	62	WImI	1	60	say	5	59
5365	Sayornis	60	7		4				Sayornis	4	63	Sayornis	4	61	Sayomis	2	63	Sayornis	4	63	Sayornis	4	61	Sayomis	2	60
5366	scabious	61	7		6				scabious	6	64	scabious	6	62	scabious	6	64	scabious	6	64	scabious	6	62	scabious	6	61
5367	scagliola	62	7		3	weak			scagliola	3	65	A	1	63	gcagliola	1	65	scagliola	3	65	scagliola	3	63	Bcagliola	1	62
5368	scald-head	63	7		6				scald-head	6	66	scald-head	6	64	scald-head	6	66	scald-head	6	66	scald-head	6	64	scald-head	6	63
5369	scale	64	7		6				scale	6	67	scale	6	65	scale	6	67	scale	6	67	scale	6	65	scale	6	64
5370	scale	65	7		4				scale	4	68	Middle	1	66	scale	4	68	scale	4	68	scale	4	66	Scale-armor	1	65
5371	scaling	66	7		5				I	1	69	scaling	5	67	scaling	5	69	scaling	5	69	scaling	5	67	scaling	5	66
5372	scalp	67	7		6				scalp	6	70	scalp	6	68	scalp	6	70	scalp	6	70	scalp	6	68	scalp	6	67
5373	scammonia	68	7		2	weak			scanunonia	1	71	see	1	69	scammonia	2	71	scammoiua	1	71	scammonia	2	69	Scammony	1	68
5374	scandalize	69	7		6				scandalize	6	72	scandalize	6	70	scandalize	6	72	scandalize	6	72	scandalize	6	70	scandalize	6	69
5375	scant	70	7		6				scant	6	73	scant	6	71	scant	6	73	scant	6	73	scant	6	71	scant	6	70
5376	scapel	71	7		3	weak			scapel	3	74	scapel	3	72	scapel	3	74	scapelt	1	74	Bcapel	2	72	Bcapel	2	71
5377	scaphopodous	72	7		3	weak			scaphopodous	3	75	scaphopodous	3	73	scaphopodous	3	75	scaphopodoos	1	75	scapuloradial	1	73	Bcaphopodous	1	72
5378	scapuloradial	73	7		4				scapuloradial	4	76	scapnloradial	1	74	scapuloradial	4	76	scapuloradlal	1	76	scapuloradial	4	74	scapuloradial	4	73
5379	scarce	74	7		6				scarce	6	77	scarce	6	75	scarce	6	77	scarce	6	77	scarce	6	75	scarce	6	74
5380	scarecrow	75	7		6				scarecrow	6	78	scarecrow	6	76	scarecrow	6	78	scarecrow	6	78	scarecrow	6	76	scarecrow	6	75
5381	scarify	76	7		5				J	1	79	scarify	5	77	scarify	5	79	scarify	5	79	scarify	5	77	scarify	5	76
5382	scart	77	7		6				scart	6	80	scart	6	78	scart	6	80	scart	6	80	scart	6	78	scart	6	77
5383	Scatophagoidea	78	7		6				Scatophagoidea	6	81	Scatophagoidea	6	79	Scatophagoidea	6	81	Scatophagoidea	6	81	Scatophagoidea	6	79	Scatophagoidea	6	78
5384	scavenge	79	7		6				scavenge	6	82	scavenge	6	80	scavenge	6	82	scavenge	6	82	scavenge	6	80	scavenge	6	79
5385	scene	80	7		2	weak			I	1	83	scene	2	81	ticene	1	83	Giddy	1	83	scene	2	81	ucene	1	80
5386	scent	81	7		6				scent	6	84	scent	6	82	scent	6	84	scent	6	84	scent	6	82	scent	6	81
5387	schalstein	82	7		5				schalstein	5	85	schalstein	5	83	schalstein	5	85	schalstein	5	85	schalstein	5	83	Bcbalgtein	1	82
5388	scheme	83	7		6				scheme	6	86	scheme	6	84	scheme	6	86	scheme	6	86	scheme	6	84	scheme	6	83
5389	Schinus	84	7		4				Schinos	1	87	Schinus	4	85	Schinus	4	87	Schinus	4	87	Schinus	4	85	Schinns	1	84
5390	schistothoraz	85	7		2	weak			schistothoraz	2	88	schistotliorax	1	86	schistothorax	1	88	schlstothorax	1	88	Bchistothorax	1	86	schistothoraz	2	85
5391	Schizonemertina	86	7		3	weak			Schizonemertina	3	89	Schizonemertina	3	87	ScMzonemertma	1	89	ScMzonemertina	1	89	Schizonemertina	3	87	Schlzonemertina	1	86
5392	schmelze	87	7		5				schmelze	5	90	schinelze	1	88	schmelze	5	90	schmelze	5	90	schmelze	5	88	schmelze	5	87
5393	scholasticism	88	7		5				n	1	91	scholasticism	5	89	scholasticism	5	91	scholasticism	5	91	scholasticism	5	89	scholasticism	5	88
5394	school	89	7		5				school	5	92	school	5	90	school	5	92	school	5	92	riiti'	1	90	school	5	89
5395	school-pence	90	7		5				school-pence	5	93	school-pence	5	91	school-pence	5	93	school-pence	5	93	school-pence	5	91	Bchool-pence	1	90
5396	Schwenkfeldian	91	7		6				Schwenkfeldian	6	94	Schwenkfeldian	6	92	Schwenkfeldian	6	94	Schwenkfeldian	6	94	Schwenkfeldian	6	92	Schwenkfeldian	6	91
5397	science	92	7		6				science	6	95	science	6	93	science	6	95	science	6	95	science	6	93	science	6	92
5398	Scilla	93	7		6				Scilla	6	96	Scilla	6	94	Scilla	6	96	Scilla	6	96	Scilla	6	94	Scilla	6	93
5399	scioptic	94	7		4				scioptic	4	97	scioptic	4	95	scioptic	4	97	scioptic	4	97	scioptlc	2	95	scioptlc	2	94
5400	scissors	95	7		6				scissors	6	98	scissors	6	96	scissors	6	98	scissors	6	98	scissors	6	96	scissors	6	95
5401	sclere	96	7		5				sclere	5	99	sclere	5	97	Bclere	1	99	sclere	5	99	sclere	5	97	sclere	5	96
5402	sclerosed	97	7		5				sclerosed	5	100	sclerosed	5	98	sclerosed	5	100	sclerosed	5	100	a	1	98	sclerosed	5	97
5403	scoffer	98	7		5				n	1	101	scoffer	5	99	scoffer	5	101	scoffer	5	101	scoffer	5	99	scoffer	5	98
5404	Scolopacids	99	7		2	tie			Scolopacidae	2	102	Scolopacids	2	100	Scolopacids	2	102	Scolopacidae	2	102	Scolopacida	1	100	Scolopacidse	1	99
5405	Scombridse	100	7		3	weak			Scombridx	1	103	Scombridse	3	101	Scombridae	2	103	Scombridae	2	103	Scombridse	3	101	Scombridse	3	100
5406	scone	101	7		6				scone	6	104	scone	6	102	scone	6	104	scone	6	104	scone	6	102	scone	6	101
5407	Scopelidse	102	7		3	weak			Scopelidae	2	105	Scopelidae	2	103	Scopelidse	3	105	Scopelidse	3	105	Scopelidse	3	103	ScopelidsB	1	102
5408	scorch	103	7		5				scorch	5	106	scorch	5	104	scorch	5	106	scorch	5	106	a	1	104	scorch	5	103
5409	scorer	104	7		6				scorer	6	107	scorer	6	105	scorer	6	107	scorer	6	107	scorer	6	105	scorer	6	104
5410	scorodite	105	7		5				scorodite	5	108	scorodite	5	106	scorodite	5	108	scorodite	5	108	Bcorodite	1	106	scorodite	5	105
5411	scorpion	106	7		6				scorpion	6	109	scorpion	6	107	scorpion	6	109	scorpion	6	109	scorpion	6	107	scorpion	6	106
5412	scot	107	7		6				scot	6	110	scot	6	108	scot	6	110	scot	6	110	scot	6	108	scot	6	107
5413	Scotist	108	7		5				I	1	111	Scotist	5	109	Scotist	5	111	Scotist	5	111	Scotist	5	109	Scotist	5	108
5414	SCOUT	109	7		4				SCOUT	4	112	SCOUT	4	110	scour	2	112	SCOUT	4	112	SCOUT	4	110	scour	2	109
5415	scout	110	7		6				scout	6	113	scout	6	111	scout	6	113	scout	6	113	scout	6	111	scout	6	110
5416	scragged	111	7		4				scragged	4	114	scragged	4	112	With	2	114	scragged	4	114	scragged	4	112	With	2	111
5417	scrape	112	7		5				r	1	115	scrape	5	113	scrape	5	115	scrape	5	115	scrape	5	113	scrape	5	112
5418	scrat	113	7		4				scrat	4	116	scrat	4	114	scrat	4	116	Bcrat	2	116	scrat	4	114	Bcrat	2	113
5419	scrawl	114	7		4				A	1	117	I	1	115	scrawl	4	117	scrawl	4	117	scrawl	4	115	scrawl	4	114
5420	screen	115	7		5				screen	5	118	screen	5	116	other	1	118	screen	5	118	screen	5	116	screen	5	115
5421	screw	116	7		5				y	1	119	screw	5	117	screw	5	119	screw	5	119	screw	5	117	screw	5	116
5422	screw-fish	117	7		4				screw-fish	4	120	screw-fish	4	118	screw-fish	4	120	screw-flsh	1	120	Bcrew-flsh	1	118	screw-fish	4	117
5423	scribacious	118	7		4				scribacious	4	121	scribacious	4	119	scribaciouB	1	121	scribacioos	1	121	scribacious	4	119	scribacious	4	118
5424	scrimer	119	7		4				scrimer	4	122	scnmer	1	120	scrimer	4	122	scrimer	4	122	scrlmer	1	120	scrimer	4	119
5425	scripturalism	120	7		4				scripturalism	4	123	I	1	121	scripturalism	4	123	scripturalism	4	123	scrlpturalism	1	121	scripturalism	4	120
5426	scrofula	121	7		5				scrofula	5	124	scrofula	5	122	V	1	124	scrofula	5	124	scrofula	5	122	scrofula	5	121
5427	Scrophularineae	122	7		3	weak			ScrophularinesB	1	125	Scrophularineae	3	123	Scrophularineae	3	125	Scrophularineae	3	125	Scrophularlneae	1	123	Sciophularinese	1	122
5428	scmff	123	7		4				scruff	2	126	scruff	2	124	scmff	4	126	scmff	4	126	scmff	4	124	scmff	4	123
5429	scTutine	124	7		1	tie			scrutine	1	127	scTutine	1	125	scnitine	1	127	scmtine	1	127	Bcrutine	1	125	scmtiiie	1	124
5430	scuff	125	7		4				scuff	4	128	scuff	4	126	scoff	1	128	scuS	1	128	scuff	4	126	scuff	4	125
