page	entries	image	volume	fix	frequency	check	books	accuracy	centurydictiona08whit_djvu.csv	frequency	image	centurydictionar08whit_djvu.csv	frequency	image	centurydictionar08whituoft_djvu.csv	frequency	image	centurydictionary08whit_djvu.csv	frequency	image	cu31924091890651_djvu.csv	frequency	image
6209	technicality	12	8		5		centurydictiona08whit_djvu.csv	3310	technicality	5	13	technicality	5	13	technicality	5	15	technicality	5	13	technicality	5	12
6210	tectrices	13	8		4		centurydictionar08whit_djvu.csv	3298	tectrices	4	14	tectrices	4	14	haV	1	16	tectrices	4	14	tectrices	4	13
6211	teemful	14	8		3		centurydictionar08whituoft_djvu.csv	3027	teemful	3	15	teemful	3	15	teemfol	1	17	teemfttl	1	15	teemful	3	14
6212	tegh	15	8		4		centurydictionary08whit_djvu.csv	2861	tegh	4	16	tegh	4	16	tegh	4	18	of	1	16	tegh	4	15
6213	telautograph	16	8		4		cu31924091890651_djvu.csv	3236	telautograph	4	17	telautograph	4	17	telantograph	1	19	telautograph	4	17	telautograph	4	16
6214	telegraph	17	8		5		centurydictiona08whit_djvu.csv	top accuracy	telegraph	5	18	telegraph	5	18	telegraph	5	20	telegraph	5	18	telegraph	5	17
6215	telegraphy	18	8		3		cu31924091890651_djvu.csv	best images	telegraphy	3	19	telekinetic	2	19	telegraphy	3	21	telekinetic	2	19	telegraphy	3	18
6216	teleostome	19	8		5				teleostome	5	20	teleostome	5	20	teleostome	5	22	teleostome	5	20	teleostome	5	19
6217	telephony	20	8		5				telephony	5	21	telephony	5	21	telephony	5	23	telephony	5	21	telephony	5	20
6218	telescope	21	8		5				telescope	5	22	telescope	5	22	telescope	5	24	telescope	5	22	telescope	5	21
6219	telfordize	22	8		5				telfordize	5	23	telfordize	5	23	telfordize	5	25	telfordize	5	23	telfordize	5	22
6220	telltale	23	8		5				telltale	5	24	telltale	5	24	telltale	5	26	telltale	5	24	telltale	5	23
6221	temerarious	24	8		5				temerarious	5	25	temerarious	5	25	temerarious	5	27	temerarious	5	25	temerarious	5	24
6222	temper	25	8		5				temper	5	26	temper	5	26	temper	5	28	temper	5	26	temper	5	25
6223	temperately	26	8		4				temperately	4	27	temperately	4	27		1	29	temperately	4	27	temperately	4	26
6224	tempestively	27	8		5				tempestively	5	28	tempestively	5	28	tempestively	5	30	tempestively	5	28	tempestively	5	27
6225	templify	28	8		4				templify	4	29	templify	4	29	templiiy	1	31	templify	4	29	templify	4	28
6226	temporary	29	8		5				temporary	5	30	temporary	5	30	temporary	5	32	temporary	5	30	temporary	5	29
6227	temptation	30	8		5				temptation	5	31	temptation	5	31	temptation	5	33	temptation	5	31	temptation	5	30
6228	tenaculum	31	8		5				tenaculum	5	32	tenaculum	5	32	tenaculum	5	34	tenaculum	5	32	tenaculum	5	31
6229	tend	32	8		5				tend	5	33	tend	5	33	tend	5	35	tend	5	33	tend	5	32
6230	tender	33	8		5				tender	5	34	tender	5	34	tender	5	36	tender	5	34	tender	5	33
6231	tendon	34	8		4				tendon	4	35	tendon	4	35	tendon	4	37	tendon	4	35	Tendon	1	34
6232	tenement-house	35	8		4				tenement-house	4	36	tenement-house	4	36	tenement-house	4	38	tenement-bouse	1	36	tenement-house	4	35
6233	tenor	36	8		4				tenor	4	37	tenor	4	37	tenoT	1	39	tenor	4	37	tenor	4	36
6234	tension	37	8		4				tension	4	38	tension	4	38	tension	4	40	tenMon	1	38	tension	4	37
