page	entries	image	volume	frequency	check	books	accuracy	centurydiction02whit_djvu.csv	frequency	image	centurydictionar02whit_djvu.csv	frequency	image	centurydictionar02whituoft_djvu.csv	frequency	image	centurydictionary02whit_djvu.csv	frequency	image	cu31924091890594_djvu.csv	frequency	image
881	Celticize	13	2	2	weak	centurydiction02whit_djvu.csv	3671	Celticizc	1	13	Celticize	2	13	Oelticize	1	15	Celticize	2	13	uexticize	1	12
882	cenation	14	2	3		centurydictionar02whit_djvu.csv	3613	conation	2	14	conation	2	14	cenation	3	16	cenation	3	14	cenation	3	13
883	censor	15	2	5		cu31924091890594_djvu.csv	3582	censor	5	15	censor	5	15	censor	5	17	censor	5	15	censor	5	14
884	centage	16	2	4		centurydictionary02whit_djvu.csv	3565	ccntage	1	16	centage	4	16	centage	4	18	centage	4	16	centage	4	15
885	center	17	2	5		centurydictionar02whituoft_djvu.csv	3479	center	5	17	center	5	17	center	5	19	center	5	17	center	5	16
886	center-rail	18	2	4				center-rail	4	18	central	1	18	center-rail	4	20	center-rail	4	18	center-rail	4	17
887	central	19	2	5				central	5	19	central	5	19	central	5	21	central	5	19	central	5	18
888	centrifugal	20	2	4				centrifugal	4	20	centrifugal	4	20	centrifugal	4	22	centrifugal	4	20	n	1	19
889	centropomid	21	2	5				centropomid	5	21	centropomid	5	21	centropomid	5	23	centropomid	5	21	centropomid	5	20
890	century	22	2	5				century	5	22	century	5	22	century	5	24	century	5	22	century	5	21
891	Cephalobranchia	23	2	5				Cephalobranchia	5	23	Cephalobranchia	5	23	Cephalobranchia	5	25	Cephalobranchia	5	23	Cephalobranchia	5	22
892	Oephaloptera	24	2	4				Oephaloptera	4	24	Cephaloptera	1	24	Oephaloptera	4	26	Oephaloptera	4	24	Oephaloptera	4	23
893	Cepphus	25	2	3				Cepphus	3	25	Cepphus	3	25	Cepphus	3	27	Oepphus	2	25	Oepphus	2	24
894	Ceratiidse	26	2	3				Ceratiidse	3	26	Ceratiidas	1	26	Oeratiidae	1	28	Ceratiidse	3	26	Ceratiidse	3	25
895	Branch	27	2	3				Branch	3	27	Branch	3	27	Ceratoidea	2	29	Branch	3	27	Ceratoidea	2	26
896	and	28	2	2	tie			and	2	28	cercana	2	28	Embnfonic	1	30	and	2	28	cercana	2	27
897	Oerdale	29	2	3				Oerdale	3	29	Cerdale	2	29	Cerdale	2	31	Oerdale	3	29	Oerdale	3	28
898	cerebration	30	2	5				cerebration	5	30	cerebration	5	30	cerebration	5	32	cerebration	5	30	cerebration	5	29
899	ceremonious	31	2	5				ceremonious	5	31	ceremonious	5	31	ceremonious	5	33	ceremonious	5	31	ceremonious	5	30
900	Ceriphasiidse	32	2	2	weak			Ceriphasiidse	2	32	Ceriphasiidae	1	32	Ceriphasiidse	2	34	Oeriphasiidss	1	32	Ceriphasiids	1	31
901	certain	33	2	5				certain	5	33	certain	5	33	certain	5	35	certain	5	33	certain	5	32
902	certification	34	2	5				certification	5	34	certification	5	34	certification	5	36	certification	5	34	certification	5	33
903	Cervicapra	35	2	3				Cervicapra	3	35	Cervicapra	3	35	Cerricapra	1	37	Oervicapra	1	35	Cervicapra	3	34
904	cessavit	36	2	5				cessavit	5	36	cessavit	5	36	cessavit	5	38	cessavit	5	36	cessavit	5	35
905	cestus	37	2	4				cestuB	1	37	cestus	4	37	cestus	4	39	cestus	4	37	cestus	4	36
906	cetrariseform	38	2	2	tie			cetrariseform	2	38	cetrariaeform	2	38	cetrariaeform	2	40	cetrariseform	2	38	cetrarifflform	1	37
907	chack	39	2	4				chack	4	39	chack	4	39	chack	4	41	chack	4	39	cnacK	1	38
908	Chatophora	40	2	3				Chatophora	3	40	Chatophora	3	40	Ckatophora	2	42	Chatophora	3	40	Ckatophora	2	39
909	chaff	41	2	4				cbaff	1	41	chaff	4	41	chaff	4	43	chaff	4	41	chaff	4	40
910	chain	42	2	5				chain	5	42	chain	5	42	chain	5	44	chain	5	42	chain	5	41
911	chair	43	2	5				chair	5	43	chair	5	43	chair	5	45	chair	5	43	chair	5	42
912	chalcidian	44	2	5				chalcidian	5	44	chalcidian	5	44	chalcidian	5	46	chalcidian	5	44	chalcidian	5	43
913	Mayence	45	2	4				Mayence	4	45	Mayence	4	45	Mayence	4	47	Mayence	4	45	from	1	44
914	challenge	46	2	5				challenge	5	46	challenge	5	46	challenge	5	48	challenge	5	46	challenge	5	45
915	chamsecephalic	47	2	3				chamsecephalic	3	47	cliamsecephalic	1	47	chamsecephalic	3	49	chamsecephalic	3	47	cbamsecephalic	1	46
916	chamberer	48	2	5				chamberer	5	48	chamberer	5	48	chamberer	5	50	chamberer	5	48	chamberer	5	47
917	chamfered	49	2	4				chamfered	4	49	chamfered	4	49	I	1	51	chamfered	4	49	chamfered	4	48
918	champignon	50	2	5				champignon	5	50	champignon	5	50	champignon	5	52	champignon	5	50	champignon	5	49
919	chancel	51	2	4				chancel	4	51	chancel	4	51	chancel	4	53	chancel	4	51	cnancei	1	50
920	chandelier	52	2	5				chandelier	5	52	chandelier	5	52	chandelier	5	54	chandelier	5	52	chandelier	5	51
921	change	53	2	5				change	5	53	change	5	53	change	5	55	change	5	53	change	5	52
922	channel-bone	54	2	4				channel-bone	4	54	channel-bone	4	54	channel-bone	4	56	channel-bone	4	54	cliaimel-bone	1	53
923	chanticleer	55	2	5				chanticleer	5	55	chanticleer	5	55	chanticleer	5	57	chanticleer	5	55	chanticleer	5	54
924	chape	56	2	5				chape	5	56	chape	5	56	chape	5	58	chape	5	56	chape	5	55
925	chapfallen	57	2	5				chapfallen	5	57	chapfallen	5	57	chapfallen	5	59	chapfallen	5	57	chapfallen	5	56
926	chapter	58	2	4				cbapter	1	58	chapter	4	58	chapter	4	60	chapter	4	58	chapter	4	57
927	Characinidie	59	2	1	tie			Characinidie	1	59	Characinidae	1	59	Characinida	1	61	Oharacinidse	1	59	unaracimase	1	58
928	characteristic	60	2	5				characteristic	5	60	characteristic	5	60	characteristic	5	62	characteristic	5	60	characteristic	5	59
929	charcoal-pit	61	2	4				charcoal-pit	4	61	charcoal-pit	4	61	charcoal-pit	4	63	cbarcoal-pit	1	61	charcoal-pit	4	60
930	charge	62	2	5				charge	5	62	charge	5	62	charge	5	64	charge	5	62	charge	5	61
931	charioteering	63	2	5				charioteering	5	63	charioteering	5	63	charioteering	5	65	charioteering	5	63	charioteering	5	62
932	charlatanism	64	2	5				charlatanism	5	64	charlatanism	5	64	charlatanism	5	66	charlatanism	5	64	charlatanism	5	63
933	chart	65	2	4				chart	4	65	chart	4	65	cbart	1	67	chart	4	65	chart	4	64
934	chartreuse	66	2	5				chartreuse	5	66	chartreuse	5	66	chartreuse	5	68	chartreuse	5	66	chartreuse	5	65
935	chasm	67	2	4				chasm	4	67	chasm	4	67	chasm	4	69	chasm	4	67	Her	1	66
936	chastity	68	2	5				chastity	5	68	chastity	5	68	chastity	5	70	chastity	5	68	chastity	5	67
937	chattel	69	2	4				chattel	4	69	chattel	4	69	chattel	4	71	chattel	4	69	cnattel	1	68
938	chaundry	70	2	4				chaundry	4	70	chaundry	4	70	chaondry	1	72	chaundry	4	70	chaundry	4	69
939	cheap	71	2	4				cheap	4	71	cheap	4	71	cheap	4	73	cheap	4	71	cbeap	1	70
940	cheatee	72	2	5				cheatee	5	72	cheatee	5	72	cheatee	5	74	cheatee	5	72	cheatee	5	71
941	checker	73	2	5				checker	5	73	checker	5	73	checker	5	75	checker	5	73	checker	5	72
942	Cheeky	74	2	5				Cheeky	5	74	Cheeky	5	74	Cheeky	5	76	Cheeky	5	74	Cheeky	5	73
943	cheer	75	2	5				cheer	5	75	cheer	5	75	cheer	5	77	cheer	5	75	cheer	5	74
944	cbeese	76	2	3				cbeese	3	76	cheese	2	76	cbeese	3	78	cbeese	3	76	cheese	2	75
945	Terminal	77	2	2	weak			Terminal	2	77	Terminal	2	77	chela	1	79	Teniiiiial	1	77	A	1	76
946	Chelonia	78	2	3				Chelonia	3	78	Chelonia	3	78	Chelonla	1	80	Ohelonia	1	78	Chelonia	3	77
947	chemical	79	2	4				chemical	4	79	chemical	4	79	chemical	4	81	chemical	4	79	cbemical	1	78
948	chenille	80	2	5				chenille	5	80	chenille	5	80	chenille	5	82	chenille	5	80	chenille	5	79
949	cherry	81	2	5				cherry	5	81	cherry	5	81	cherry	5	83	cherry	5	81	cherry	5	80
950	cherubin	82	2	4				cherubin	4	82	cherubin	4	82	ciierubin	1	84	cherubin	4	82	cherubin	4	81
951	chesten	83	2	4				cbesten	1	83	chesten	4	83	chesten	4	85	chesten	4	83	chesten	4	82
952	cheval-glass	84	2	5				cheval-glass	5	84	cheval-glass	5	84	cheval-glass	5	86	cheval-glass	5	84	cheval-glass	5	83
953	chevronel	85	2	5				chevronel	5	85	chevronel	5	85	chevronel	5	87	chevronel	5	85	chevronel	5	84
954	chiastre	86	2	3				chiastre	3	86	cliiastre	1	86	chlastre	1	88	chiastre	3	86	chiastre	3	85
955	chicken	87	2	5				chicken	5	87	chicken	5	87	chicken	5	89	chicken	5	87	chicken	5	86
