page	entries	image	volume	fix	frequency	check	books	accuracy	centurydictionar05whit_djvu.csv	frequency	image	centurydictionar05whituoft_djvu.csv	frequency	image	centurydictionary05whit_djvu.csv	frequency	image	cu31924091890628_djvu.csv	frequency	image
3557	The	12	5		2	weak	centurydictionar05whit_djvu.csv	2953	w	1	13	contraction	1	15	The	2	13	The	2	12
3558	macaque	13	5		3		centurydictionar05whituoft_djvu.csv	2817	macaque	3	14	macaqne	1	16	macaque	3	14	macaque	3	13
3559	mace	14	5		3		centurydictionary05whit_djvu.csv	2921	mace	3	15	mace	3	17	mace	3	15	Missing	1	14
3560	machicolation	15	5		4		cu31924091890628_djvu.csv	2795	machicolation	4	16	machicolation	4	18	machicolation	4	16	machicolation	4	15
3561	machine-gun	16	5		1	tie	centurydictionar05whit_djvu.csv	top accuracy	machine-gun	1	17	machine-gnn	1	19	macMne-gun	1	17	machlne-gnn	1	16
3562	mackerel	17	5		4		cu31924091890628_djvu.csv	best images	mackerel	4	18	mackerel	4	20	mackerel	4	18	mackerel	4	17
3563	macrauchene	18	5		3				macrauchene	3	19	macrauchene	3	21	macrauchene	3	19	macranchene	1	18
3564	Macrodactyla	19	5		4				Macrodactyla	4	20	Macrodactyla	4	22	Macrodactyla	4	20	Macrodactyla	4	19
3565	Macropodidse	20	5		2	weak			Macropodidse	2	21	Macropodidse	2	23	Macropodids	1	21	macrotarsian	1	20
3566	Macrotarsius	21	5		3				Macrotarsius	3	22	Macrotarsios	1	24	Macrotarsius	3	22	Macrotarsius	3	21
3567	mad	22	5		3				mad	3	23	I	1	25	mad	3	23	mad	3	22
3568	madder	23	5		4				madder	4	24	madder	4	26	madder	4	24	madder	4	23
3569	madid	24	5		4				madid	4	25	madid	4	27	madid	4	25	madid	4	24
3570	madrono	25	5		4				madrono	4	26	madrono	4	28	madrono	4	26	madrono	4	25
3571	magas	26	5		4				magas	4	27	magas	4	29	magas	4	27	magas	4	26
3572	magic	27	5		4				magic	4	28	magic	4	30	magic	4	28	magic	4	27
3573	magistery	28	5		4				magistery	4	29	magistery	4	31	magistery	4	29	magistery	4	28
3574	magne-crystallic	29	5		4				magne-crystallic	4	30	magne-crystallic	4	32	magne-crystallic	4	30	magne-crystallic	4	29
3575	magnetic	30	5		4				magnetic	4	31	magnetic	4	33	magnetic	4	31	magnetic	4	30
3576	magneto-electric	31	5		4				magneto-electric	4	32	magneto-electric	4	34	magneto-electric	4	32	magneto-electric	4	31
3577	magnify	32	5		4				magnify	4	33	magnify	4	35	magnify	4	33	magnify	4	32
