page	entries	image	volume	fix	frequency	check	books	accuracy	centurydictiona06whit_djvu.csv	frequency	image	centurydictionar06whit_djvu.csv	frequency	image	centurydictionar06whituoft_djvu.csv	frequency	image	cu31924091890636_djvu.csv	frequency	image
4437	pharmacological	12	6		3		centurydictiona06whit_djvu.csv	2576	pharmacological	3	13	pharmacological	3	13	pharmacological	3	15	phaimacological	1	12
4438	pharyngo-esophagus	13	6		4		centurydictionar06whit_djvu.csv	2698	pharyngo-esophagus	4	14	pharyngo-esophagus	4	14	pharyngo-esophagus	4	16	pharyngo-esophagus	4	13
4439	phase	14	6		3		centurydictionar06whituoft_djvu.csv	2492	phase	3	15	pbase	1	15	phase	3	17	phase	3	14
4440	pheasant	15	6		3		cu31924091890636_djvu.csv	2652	pheasant	3	16	pheasant	3	16	pbeasant	1	18	pheasant	3	15
4441	phenicin	16	6		3		centurydictionar06whit_djvu.csv	top accuracy	phenicin	3	17	phenicin	3	17	pbenidn	1	19	phenicin	3	16
4442	phenylia	17	6		3		cu31924091890636_djvu.csv	best images	phenylia	3	18	phenylia	3	18	A	1	20	phenylia	3	17
4443	pMlanthropistic	18	6		1	tie			philantliropistic	1	19	pMlanthropistic	1	19	philanthropistic	1	21	Philanthus	1	18
4444	philippize	19	6		3				philippize	3	20	philippize	3	20	philippize	3	22	phiUppize	1	19
4445	philology	20	6		4				philology	4	21	philology	4	21	philology	4	23	philology	4	20
4446	philosophical	21	6		4				philosophical	4	22	philosophical	4	22	philosophical	4	24	philosophical	4	21
4447	Philydraceae	22	6		2	weak			Philydraceae	2	23	Philydraceae	2	23	a	1	25	Fhilydraceae	1	22
4448	phlegmonous	23	6		2	weak			phlegmonoas	1	24	phlegmonous	2	24	phlegmonons	1	26	phlegmonous	2	23
4449	Phocaena	24	6		1	tie			Fhocsena	1	25	Phocaena	1	25	Fbocana	1	27	Phocsna	1	24
4450	Pholadidse	25	6		1	tie			Pholadidae	1	26	Pholadidse	1	26	Pholadomya	1	28	Pholadontya	1	25
4451	phonlkon	26	6		2	weak			phonlkon	2	27	phonikon	1	27	phonlkon	2	29	Tfbanikaa	1	26
4452	phonotypically	27	6		2	weak			i	1	28	phonotypically	2	28	pbonotyplcally	1	30	phonotypically	2	27
4453	phosphorescent	28	6		4				phosphorescent	4	29	phosphorescent	4	29	phosphorescent	4	31	phosphorescent	4	28
4454	photochromy	29	6		2	weak			photochromy	2	30	proxinidtion	1	30	ifhotocliromy	1	32	photochromy	2	29
4455	pliotography	30	6		1	tie			photography	1	31	pliotography	1	31	pbotography	1	33	pbotograpliy	1	30
4456	photophone	31	6		4				photophone	4	32	photophone	4	32	photophone	4	34	photophone	4	31
4457	Phragmophora	32	6		4				Phragmophora	4	33	Phragmophora	4	33	Phragmophora	4	35	Phragmophora	4	32
4458	phrenic	33	6		4				phrenic	4	34	phrenic	4	34	phrenic	4	36	phrenic	4	33
4459	Phrynorhombus	34	6		2	weak			Phrynorhombus	2	35	Phrynorhombus	2	35	Phrynorhombas	1	37	Fhrynorliombus	1	34
4460	phygogalactic	35	6		3				phygogalactic	3	36	phygogalactic	3	36	Phylacterium	1	38	phygogalactic	3	35
4461	Phyllium	36	6		3				Phyllium	3	37	Phyllium	3	37	Phyllium	3	39	PhylUnm	1	36
4462	Phyllorhininae	37	6		1	tie			Phyllorhininse	1	38	Phyllorhininae	1	38	PhyUorhininae	1	40	Fhyllorhininse	1	37
4463	phylloxera-mite	38	6		4				phylloxera-mite	4	39	phylloxera-mite	4	39	phylloxera-mite	4	41	phylloxera-mite	4	38
4464	Physeteridse	39	6		2	weak			Physeteridae	1	40	Physeteridse	2	40	Physeterldse	1	42	Physeteridse	2	39
4465	physicist	40	6		2	tie			pliysicist	2	41	physicist	2	41	physicist	2	43	pliysicist	2	40
4466	physiography	41	6		2	weak			physiography	2	42	physiography	2	42	physlograpliy	1	44	physiograpliy	1	41
4467	physopod	42	6		4				physopod	4	43	physopod	4	43	physopod	4	45	physopod	4	42
4468	phytoglyphy	43	6		4				phytoglyphy	4	44	phytoglyphy	4	44	phytoglyphy	4	46	phytoglyphy	4	43
4469	Phytotomidae	44	6		2	tie			Phytotomidae	2	45	Phytotomidae	2	45	Phytotomids	2	47	Phytotomids	2	44
4470	pianoforte	45	6		4				pianoforte	4	46	pianoforte	4	46	pianoforte	4	48	pianoforte	4	45
4471	picaresque	46	6		4				picaresque	4	47	picaresque	4	47	picaresque	4	49	picaresque	4	46
4472	Picidse	47	6		2	weak			Plclda	1	48	Picidse	2	48	Fields	1	50	Picidse	2	47
4473	Ward-lock	48	6		2	tie			pick	2	49	Ward-lock	2	49	pick	2	51	Ward-lock	2	48
4474	pickerel	49	6		4				pickerel	4	50	pickerel	4	50	pickerel	4	52	pickerel	4	49
4475	pickle-worm	50	6		4				pickle-worm	4	51	pickle-worm	4	51	pickle-worm	4	53	pickle-worm	4	50
4476	Picris	51	6		3				Plcris	1	52	Picris	3	52	Picris	3	54	Picris	3	51
4477	picturesque	52	6		3				picturesque	3	53	picturesque	3	53	pictoresque	1	55	picturesque	3	52
4478	piece	53	6		3				piece	3	54	piece	3	54	pedasso	1	56	piece	3	53
4479	piecemeal	54	6		4				piecemeal	4	55	piecemeal	4	55	piecemeal	4	57	piecemeal	4	54
4480	pier	55	6		4				pier	4	56	pier	4	56	pier	4	58	pier	4	55
4481	piety	56	6		4				piety	4	57	piety	4	57	piety	4	59	piety	4	56
4482	pigeonhole	57	6		3				pigeonhole	3	58	pigeonliole	1	58	pigeonhole	3	60	pigeonhole	3	57
4483	pigment-granule	58	6		2	weak			pigment-granule	2	59	pigment-granule	2	59	jdgmeiit-gTanale	1	61	plgment-gTaniile	1	58
4484	ordinary	59	6		2	weak			pike	1	60	ordinary	2	60	ordinary	2	62	-ordinary	1	59
4485	Grand	60	6		3				Grand	3	61	Grand	3	61	pilar	1	63	Grand	3	60
4486	pile	61	6		3				pile	3	62	pile	3	62	pUe	1	64	pile	3	61
4487	Pileopsis	62	6		3				Pileopsis	3	63	Pileopsis	3	63	Pileopsis	3	65	Flleopsis	1	62
4488	pilgrim	63	6		4				pilgrim	4	64	pilgrim	4	64	pilgrim	4	66	pilgrim	4	63
4489	pillar	64	6		4				pillar	4	65	pillar	4	65	pillar	4	67	pillar	4	64
4490	pillion	65	6		4				pillion	4	66	pillion	4	66	pillion	4	68	pillion	4	65
4491	All	66	6		1	tie			Pilobolus	1	67	All	1	67	fc	1	69	Filobolus	1	66
4492	pllus	67	6		2	weak			pllus	2	68	pllus	2	68	pilns	1	70	pilus	1	67
4493	Pimpla	68	6		4				Pimpla	4	69	Pimpla	4	69	Pimpla	4	71	Pimpla	4	68
4494	Pin-borer	69	6		2	weak			Piii-borcr	1	70	Pin-borjer	1	70	Pin-borer	2	72	Pin-borer	2	69
4495	Piliching-tongs-	70	6		1	tie			b	1	71	Piliching-tongs-	1	71	pinclier	1	73	b't	1	70
4496	pine	71	6		4				pine	4	72	pine	4	72	pine	4	74	pine	4	71
4497	pine	72	6		3				pine	3	73	pine	3	73	pine	3	75	pme	1	72
4498	pine-stove	73	6		4				pine-stove	4	74	pine-stove	4	74	pine-stove	4	76	pine-stove	4	73
