Lemma;Haupteintrag;Wortart;Varianten;Werk;Band;Spalte;Zeile;IstVariante;ZusatzVhd;IstNachtrag;Nband;Nspalte;Nzeile
a;hay!;interj.;;;4;1043;8;1;;;;;
a1;;s.m.;;tl;1;1;1;0;1;0;1;1215;37
a2;;interj.;ha, ah, ha las!, hai las!, hay!, hé!;tl;1;1;17;0;1;0;1;1215;42
a3;;praep.;;tl;1;1;39;0;1;0;1;1215;43
aaatir;;v.;aatir;tl;1;25;32;0;1;0;1;1215;47
aacier;;v.;;tl;1;25;36;0;1;0;1;1215;48
äage;ëage;s.m. und f.;;;3;6;3;1;;;;;
äagier;ëagier;v.;;;3;9;12;1;;;;;
aaidier ;;v.;;tl;1;26;6;0;0;;;;
aaignier;;v.;aeignier;tl;1;26;9;0;0;;;;
aairier;;v.;;tl;1;26;16;0;1;0;1;1215;49
aaise1;;s.f.;;tl;1;26;37;0;1;0;1;1215;50
aaise2;;a.;;tl;1;26;48;0;1;0;1;1215;51
aaisement;;s.m.;;tl;1;27;1;0;1;0;1;1216;37
aaisier;;v.;haiesier;tl;1;27;17;0;1;0;1;1216;41
äaisier;haiesier;vb.;;;4;822;42;1;;;;;
aäison;;s.f.;;tl;1;28;39;0;1;0;1;1216;45
aamer;;v.;;tl;1;28;43;0;1;0;1;1216;46
aancrer;;v.;;tl;1;29;5;0;1;0;1;1216;47
aangler;;v.;aengler;tl;1;29;24;0;0;;;;
aarsin ;;a.;;tl;1;29;28;0;0;;;;
aasmance;;s.f.;;tl;1;29;32;0;0;;;;
aasprir;;v.;;tl;1;29;41;0;0;;;;
aat;;s.m.;;tl;1;29;44;0;0;;;;
aate;;a.;;tl;1;29;46;0;1;0;1;1216;48
aatie;;s.f.;;tl;1;30;25;0;1;0;1;1216;50
aatie;atie;s.f.;;;1;639;34;1;;;;;
aatiier;;v.;;tl;1;31;1;0;0;;;;
aatin;;s.m.;;tl;1;31;5;0;0;;;;
aatine;;s.f.;haitine;tl;1;31;8;0;1;0;1;1216;51
äatine;haitine;s.f.;;;4;852;44;1;;;;;
aatir;;v.;ahatir;tl;1;31;37;0;1;0;1;1216;52
aatir;aaatir;v.;;;1;25;32;1;;;;;
aatir;atir;v.;;;1;640;52;1;;;;;
aatise;;s.f.;;tl;1;33;34;0;1;0;1;1217;4
aatison;;s.f.;;tl;1;33;37;0;0;;;;
ab;o4;praep.;;;6;923;16;1;;;;;
abaater;;v.;;tl;1;33;41;0;1;0;1;1217;5
abac;;s.m.;abaque;tl;1;33;45;0;1;0;1;1217;6
abaeor;abaieor;s.m.;;;1;34;48;1;;;;;
abaer;;v.;;tl;1;33;52;0;1;0;1;1217;7
abaerresse;;s.f.;;tl;1;34;15;0;0;;;;
abai;;s.m.;esbai;tl;1;34;21;0;1;0;1;1217;8
abaiement;;s.m.;;tl;1;34;46;0;0;;;;
abaieor;;s.m.;abaeor;tl;1;34;48;0;1;0;1;1217;9
abaignier;;v.;;tl;1;34;52;0;0;;;;
abaiier;;v.;esbaiier;tl;1;35;4;0;1;0;1;1217;10
abaiiete;abavete;s.m.;;;1;43;23;1;;;;;
abaiieter;abeveter;v.;;;1;47;41;1;;;;;
abaillier;;v.;;tl;1;35;41;0;0;;;;
abaissance;;s.f.;;tl;1;35;46;0;0;;;;
abaissement;;s.m.;;tl;1;35;48;0;0;;;;
abaissier;;v.;;tl;1;35;50;0;0;;;;
abait;;s.m.;;tl;1;37;13;0;0;;;;
abaliier;;v.;;tl;1;37;14;0;1;0;1;1217;14
abander;;v.;;tl;1;37;18;0;1;0;1;1217;15
abandon;;s.m.;;tl;1;37;22;0;1;0;1;1217;16
abandonement;;s.m.;;tl;1;38;12;0;0;;;;
abandoneor;;s.m.;;tl;1;38;19;0;0;;;;
abandoner;;v.;;tl;1;38;21;0;1;0;1;1217;18
abaque;abac;s.m.;;;1;33;45;1;;;;;
abasser;;v.;;tl;1;39;39;0;0;;;;
abassorer;;v.;;tl;1;39;43;0;0;;;;
abastardir;;v.;;tl;1;39;46;0;0;;;;
abastir;;v.;;tl;1;39;52;0;1;0;1;1217;30
abastoné;;a.;;tl;1;40;7;0;0;;;;
abatage;;s.m.;;tl;1;40;13;0;0;;;;
abataillier;;v.;;tl;1;40;21;0;1;0;1;1217;31
abatëiz;;s.m.;;tl;1;40;27;0;1;0;1;1217;32
abatement;;s.m.;;tl;1;40;37;0;0;;;;
abatison;;s.f.;;tl;1;40;40;0;0;;;;
abat-quatre;;s.m.;;tl;1;40;44;0;0;;;;
abatre;;v.;;tl;1;40;49;0;1;0;1;1217;33
abaubir;;v.;;tl;1;42;42;0;1;0;1;1217;37
abavete;;s.m.;abaiiete;tl;1;43;23;0;1;0;1;1217;39
abaveter;abeveter;v.;;;1;47;41;1;;;;;
abc;;s.m.;;tl;1;43;26;0;1;0;1;1217;41
abé1;;s.m.;;tl;1;43;43;0;1;0;1;1217;42
abé2;;s.m.;;tl;1;44;8;0;1;0;1;1217;44
abeance;;s.f.;;tl;1;44;18;0;1;0;1;1217;46
abec;;s.m.;;tl;1;44;25;0;0;;;;
abecelaire;;s.m.;;tl;1;44;29;0;1;0;1;1217;47
abechier;;v.;;tl;1;44;36;0;1;0;1;1217;48
abechir;;v.;;tl;1;44;38;0;0;;;;
abeenge;;s.f.;;tl;1;44;41;0;0;;;;
abeesse;;s.f.;;tl;1;44;45;0;1;0;1;1217;49
abeie;;s.f.;abëie, abie;tl;1;45;7;0;1;0;1;1217;51
abëie;abeie;s.f.;;;1;45;7;1;;;;;
abeillage;;s.m.;;tl;1;45;32;0;0;;;;
abeille;;s.f.;;tl;1;45;36;0;1;0;1;1217;52
abelir;;v.;;tl;1;45;49;0;1;0;1;1218;3
abeneviser;;v.;;tl;1;46;14;0;1;0;1;1218;6
abenge;;s.f.;;tl;1;46;19;0;1;0;1;1218;8
abengete;;s.f.;;tl;1;46;27;0;1;0;1;1218;9
aberie;;s.f.;arberie;tl;1;46;33;0;1;0;1;1218;10
abesse;;s.f.;;tl;1;46;36;0;0;;;;
